candidate,controller_label,family,instance,solver,logical_seed,actual_seed,rep,mode,cutoff,alpha,exit_code,parse_ok,V,E,first_lb,best_lb,lb_gain,first_ub,verified_ub,ub_gain,absolute_gap,relative_gap,solver_certified_opt,n_rounds,raw_output
baseline,baseline_original,T1,T1_50_1000_0.wclq,deep-v6,3,3,1,controller_rep1,20,90,0,True,50,1000,28,28,0,40,40,0,12,0.42857142857142855,0,1,../sumup/reference_result/baseline/raw/baseline__T1__T1_50_1000_0.wclq__deep-v6__controller_rep1__s3.out
baseline,baseline_original,T1,T1_50_1000_0.wclq,deep-v6,2,102,2,dbs_rep2,20,90,0,True,50,1000,28,28,0,40,40,0,12,0.42857142857142855,0,1,../sumup/reference_result/baseline/raw/baseline__T1__T1_50_1000_0.wclq__deep-v6__dbs_rep2__s102.out
baseline,baseline_original,T1,T1_50_1000_0.wclq,deep-v6,2,2,1,controller_rep1,20,90,0,True,50,1000,28,28,0,40,40,0,12,0.42857142857142855,0,1,../sumup/reference_result/baseline/raw/baseline__T1__T1_50_1000_0.wclq__deep-v6__controller_rep1__s2.out
baseline,baseline_original,T1,T1_50_1000_0.wclq,deep-v6,1,101,2,controller_rep2,20,90,0,True,50,1000,28,28,0,40,40,0,12,0.42857142857142855,0,1,../sumup/reference_result/baseline/raw/baseline__T1__T1_50_1000_0.wclq__deep-v6__controller_rep2__s101.out
baseline,baseline_original,T1,T1_50_1000_0.wclq,deep-v6,1,1,1,dbs_rep1,20,90,0,True,50,1000,28,28,0,40,40,0,12,0.42857142857142855,0,1,../sumup/reference_result/baseline/raw/baseline__T1__T1_50_1000_0.wclq__deep-v6__dbs_rep1__s1.out
baseline,baseline_original,T1,T1_50_1000_0.wclq,deep-v6,3,103,2,controller_rep2,20,90,0,True,50,1000,28,28,0,40,40,0,12,0.42857142857142855,0,1,../sumup/reference_result/baseline/raw/baseline__T1__T1_50_1000_0.wclq__deep-v6__controller_rep2__s103.out
baseline,baseline_original,T1,T1_50_1000_0.wclq,deep-v6,2,102,2,controller_rep2,20,90,0,True,50,1000,28,28,0,40,40,0,12,0.42857142857142855,0,1,../sumup/reference_result/baseline/raw/baseline__T1__T1_50_1000_0.wclq__deep-v6__controller_rep2__s102.out
baseline,baseline_original,T1,T1_50_1000_0.wclq,deep-v6,3,103,2,dbs_rep2,20,90,0,True,50,1000,28,28,0,40,40,0,12,0.42857142857142855,0,1,../sumup/reference_result/baseline/raw/baseline__T1__T1_50_1000_0.wclq__deep-v6__dbs_rep2__s103.out
baseline,baseline_original,T1,T1_50_1000_0.wclq,deep-v6,1,1,1,controller_rep1,20,90,0,True,50,1000,28,28,0,40,40,0,12,0.42857142857142855,0,1,../sumup/reference_result/baseline/raw/baseline__T1__T1_50_1000_0.wclq__deep-v6__controller_rep1__s1.out
baseline,baseline_original,T1,T1_50_1000_0.wclq,deep-v6,2,2,1,dbs_rep1,20,90,0,True,50,1000,28,28,0,40,40,0,12,0.42857142857142855,0,1,../sumup/reference_result/baseline/raw/baseline__T1__T1_50_1000_0.wclq__deep-v6__dbs_rep1__s2.out
